property_id,property_name,property_type,location,price,bedrooms,bathrooms,area_sqft,parking,furnishing,floor,total_floors,property_age,possession,amenities,description,availability,broker_name,broker_phone
P085,Kochi Smart Studio,Studio,Kochi,4000000,1,1,600,Yes,Fully Furnished,8,20,1,Ready,Pool|Gym|Security|Parking,Smart studio with premium amenities,Available,Meera Varma,9847100084
P086,Thripunithura Classic,Apartment,Thripunithura,5800000,3,2,1380,Yes,Semi-Furnished,5,9,4,Ready,Parking|Security|Gym,3BHK near Thripunithura palace,Available,Deepak Raj,9847100085
P087,Ernakulam Budget Flat,Apartment,Ernakulam,3800000,1,1,700,No,Unfurnished,2,7,8,Ready,Security|Lift,Budget 1BHK in Ernakulam,Available,Sona Thomas,9847100086
P088,Trivandrum Elite,Apartment,Trivandrum,8500000,3,3,1700,Yes,Fully Furnished,10,15,2,Ready,Pool|Gym|Parking|Security,Elite 3BHK in Trivandrum,Available,Vinod Krishnan,9847100087
P089,Kakkanad Budget Flat,Apartment,Kakkanad,4200000,1,1,700,No,Unfurnished,3,8,5,Ready,Parking|Security,Affordable 1BHK in Kakkanad IT zone,Available,Anitha Babu,9847100088
P090,Pathanamthitta Villa,Villa,Pathanamthitta,7500000,3,3,2100,Yes,Unfurnished,1,2,5,Ready,Garden|Parking|Security,3BHK villa in Pathanamthitta,Available,Rahul George,9847100089
P091,Thrissur Row House,Row House,Thrissur,7000000,3,2,1800,Yes,Unfurnished,1,1,5,Ready,Parking|Security|Garden,3BHK row house in Thrissur,Available,Rajan Menon,9847100090
P092,Vyttila Studio,Studio,Vyttila,2900000,1,1,500,Yes,Fully Furnished,4,12,2,Ready,Security|Lift|Power Backup,Furnished studio near metro,Available,Suresh Pillai,9847100091
P093,Palakkad Budget Flat,Apartment,Palakkad,2800000,1,1,620,No,Unfurnished,2,5,9,Ready,Security,Budget 1BHK in Palakkad,Available,Priya Nair,9847100092
P094,Kochi Compact,Apartment,Kochi,5800000,2,2,1150,Yes,Semi-Furnished,7,14,3,Ready,Parking|Security|Lift,2BHK in central Kochi,Available,Anil Kumar,9847100093
P095,Palarivattom Heights,Apartment,Palarivattom,9200000,4,3,2000,Yes,Fully Furnished,13,16,1,Ready,Pool|Gym|Parking|Security,Luxury 4BHK in Palarivattom,Available,Meera Varma,9847100094
P096,Kottayam Budget Flat,Apartment,Kottayam,3000000,1,1,660,No,Unfurnished,1,5,10,Ready,Security,Budget 1BHK in Kottayam,Available,Deepak Raj,9847100095
P097,Calicut Grand Tower,Apartment,Calicut,8200000,3,3,1750,Yes,Fully Furnished,11,16,1,Ready,Gym|Pool|Parking|Security,Grand 3BHK in Calicut,Available,Sona Thomas,9847100096
P098,Changanacherry Villa,Villa,Changanacherry,9000000,4,3,2400,Yes,Semi-Furnished,1,2,4,Ready,Garden|Pool|Parking|Security,4BHK villa in Changanacherry,Available,Vinod Krishnan,9847100097
P099,Kakkanad Penthouse,Penthouse,Kakkanad,16000000,4,4,3200,Yes,Fully Furnished,18,18,1,Ready,Pool|Gym|Parking|Security|Spa,Penthouse with Infopark view,Available,Anitha Babu,9847100098
P100,Ernakulam Row House,Row House,Ernakulam,10500000,4,3,2300,Yes,Semi-Furnished,1,1,2,Ready,Garden|Parking|Security,4BHK row house in Ernakulam,Sold,Rahul George,9847100099
P101,Aluva Budget Flat,Apartment,Aluva,2700000,1,1,580,No,Unfurnished,1,5,11,Ready,Security,Budget 1BHK in Aluva,Available,Rajan Menon,9847100100
P102,Kakkanad Tech View,Apartment,Kakkanad,7300000,3,2,1560,Yes,Semi-Furnished,8,13,2,Ready,Gym|Parking|Security|Lift,3BHK with tech park view,Available,Suresh Pillai,9847100101
P103,Maradu Classic,Apartment,Maradu,5200000,2,2,1150,Yes,Unfurnished,4,9,5,Ready,Parking|Security,Classic 2BHK in Maradu,Available,Priya Nair,9847100102
P104,Thrissur Premium Villa,Villa,Thrissur,14000000,5,4,3200,Yes,Fully Furnished,1,2,2,Ready,Pool|Garden|Gym|Parking|Security,Premium 5BHK villa in Thrissur,Reserved,Anil Kumar,9847100103
P105,Trivandrum Budget,Apartment,Trivandrum,3500000,1,1,650,No,Unfurnished,2,6,7,Ready,Security,Budget 1BHK in Trivandrum,Available,Meera Varma,9847100104
P106,Edappally Luxury,Apartment,Edappally,9500000,4,3,2050,Yes,Fully Furnished,14,17,1,Ready,Pool|Gym|Parking|Security|Clubhouse,Luxury 4BHK in Edappally,Available,Deepak Raj,9847100105
P107,Kochi Central Flat,Apartment,Kochi,6500000,2,2,1200,Yes,Semi-Furnished,7,15,3,Ready,Gym|Parking|Security|Lift,2BHK in heart of Kochi,Available,Sona Thomas,9847100106
P108,Perumbavoor Budget,Apartment,Perumbavoor,2600000,1,1,580,No,Unfurnished,1,4,9,Ready,Security,Starter 1BHK in Perumbavoor,Reserved,Vinod Krishnan,9847100107
P109,Kakkanad Budget Tower,Apartment,Kakkanad,5500000,2,2,1200,Yes,Unfurnished,5,10,4,Ready,Parking|Security|Lift,2BHK budget flat near IT hub,Available,Anitha Babu,9847100108
P110,Calicut Luxury Villa,Villa,Calicut,15500000,5,4,3400,Yes,Fully Furnished,1,2,2,Ready,Pool|Garden|Gym|Parking|Security,Luxury 5BHK villa in Calicut,Sold,Rahul George,9847100109
